Id,Violation
48307608,"Cipher.getInstance(""AES"""
65011962,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
59168403,"Cipher.getInstance(""AES"""
60426169,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
340820,"Cipher.getInstance(""AES"", provider"
1755259,"Cipher.getInstance(""AES"""
1760785,"Cipher.getInstance(""AES"""
41286149,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
2280375,"Cipher.getInstance(""AES/ECB/PKCS7Padding"", ""BC"""
26145693,"Cipher.getInstance(""AES"""
3180878,"Cipher.getInstance(""AES"""
48825688,"Cipher.getInstance(""AES"""
1927380,"Cipher.getInstance(""AES"""
4537099,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
71728508,Cipher.getInstance(&quot;AES&quot;
5207184,"Cipher.getInstance(""AES"""
5596994,"Cipher.getInstance(""AES"""
6429246,"Cipher.getInstance(""AES/ECB/PKCS5Padding"", ""BC"""
7344117,"Cipher.getInstance(""AES"""
9495366,"Cipher.getInstance(""AES"""
9496447,"Cipher.getInstance(""AES"""
9405077,"Cipher.getInstance(""AES"""
17567996,"Cipher.getInstance(""AES"""
17570834,Cipher.getInstance(algorithm
17587249,"Cipher.getInstance(""AES"""
9801748,"Cipher.getInstance(""AES"""
10136585,"Cipher.getInstance(""AES/ECB/NoPadding"""
10986930,"Cipher.getInstance(""AES/ECB/PKCS7Padding"", ""BC"""
11048838,"Cipher.getInstance(""AES/ECB/PKCS7Padding"""
12087288,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
12785061,"Cipher.getInstance(""AES"""
12791339,"Cipher.getInstance(""AES"""
13518881,"Cipher.getInstance(""AES/ECB/NoPadding"""
14388151,"Cipher.getInstance(""AES"""
14684130,"Cipher.getInstance(""AES"""
15952618,"Cipher.getInstance(""AES/ECB/PKCS7Padding"""
16258520,"Cipher.getInstance(""RSA/ECB/NoPadding"""
18081254,"Cipher.getInstance(""AES/ECB/NoPadding"""
18101545,"Cipher.getInstance(""AES"""
18863322,"Cipher.getInstance(""AES"""
19596002,"Cipher.getInstance(""AES"""
20949437,"Cipher.getInstance(""AES"""
20045235,"Cipher.getInstance(""AES"""
20063239,"Cipher.getInstance(""AES"""
20136740,"Cipher.getInstance(""AES"""
20868745,"Cipher.getInstance(""AES"""
21965102,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
22201511,"Cipher.getInstance(""AES"""
22794660,"Cipher.getInstance(""AES"""
23863235,"Cipher.getInstance(&quot;AES/ECB/PKCS5PADDING&quot;,&quot;SunJCE&quot;"
24231213,Cipher.getInstance(&quot;AES&quot;
25135917,"Cipher.getInstance(""AES/ECB/NoPadding"""
25139532,"Cipher.getInstance(""AES"""
25155476,"Cipher.getInstance(""AES"""
25225514,"Cipher.getInstance(""AES"""
25590953,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
26200166,"Cipher.getInstance(""AES/ECB/PKCS7Padding"""
26495841,"Cipher.getInstance(""AES/ECB/NoPadding"""
26278953,"Cipher.getInstance(""AES/ECB/PKCS5Padding"", ""Crypto"""
26867840,"Cipher.getInstance(""AES"""
27179685,"Cipher.getInstance(""AES"""
27839578,"Cipher.getInstance(&quot;AES/ECB/PKCS7Padding&quot;, &quot;BC&quot;"
29082489,"Cipher.getInstance(""AES"""
29092603,Cipher.getInstance(ALGO
29688911,"Cipher.getInstance(""AES"""
29756654,"Cipher.getInstance(""AES"""
29607500,"Cipher.getInstance(""AES"""
29832434,"Cipher.getInstance(""AES/ECB/PKCS5Padding"", ""SunJCE"""
30090679,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
30432612,"Cipher.getInstance(""AES"""
30816219,"Cipher.getInstance(""AES"""
31013035,"Cipher.getInstance(""AES"""
31297917,"Cipher.getInstance(""AES"""
31298620,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
32166377,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
32756563,"Cipher.getInstance(""AES"""
32785560,"Cipher.getInstance(""AES"""
33505223,Cipher.getInstance(&quot;AES&quot;
33654118,"Cipher.getInstance(""AES"""
33694505,"Cipher.getInstance(""AES"""
33873856,"Cipher.getInstance(""AES/ECB/NoPadding"""
34024652,"Cipher.getInstance(""AES"""
34220618,"Cipher.getInstance(""AES/ECB/PKCS7Padding"", ""BC"""
35786839,"Cipher.getInstance(""AES"""
36923382,"Cipher.getInstance(""AES"""
34663554,"Cipher.getInstance(""AES"""
34682894,"Cipher.getInstance(""AES"""
35082426,"Cipher.getInstance(""AES"""
35195011,"Cipher.getInstance(""AES"""
35203086,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
36733132,"Cipher.getInstance(""AES"""
36869628,"Cipher.getInstance(""AES"""
36883971,"Cipher.getInstance(""AES"""
37188683,"Cipher.getInstance(""AES/ECB/PKCS5PADDING"""
37457236,"Cipher.getInstance(""AES"""
37476331,"Cipher.getInstance(""AES/ECB/PKCS7Padding"""
37819550,"Cipher.getInstance(""AES"""
38323283,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
39083856,"Cipher.getInstance(""AES"""
40176282,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
41036477,"Cipher.getInstance(""AES"""
66880426,Cipher.getInstance(AES
40912549,"Cipher.getInstance(""AES"""
41113804,"Cipher.getInstance(""AES"""
41131567,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
41164463,"Cipher.getInstance(""AES"""
41590668,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
41660349,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
42211257,"Cipher.getInstance(""AES"""
42883456,"Cipher.getInstance(""AES"""
42884397,"Cipher.getInstance(""AES"""
43171180,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
43415059,"Cipher.getInstance(""AES"""
43458411,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
43581720,Cipher.getInstance(ALGO
45208550,"Cipher.getInstance(""AES"""
44739109,"Cipher.getInstance(""AES"""
45788258,"Cipher.getInstance(""AES"""
46202245,"Cipher.getInstance(""AES"""
46576918,"Cipher.getInstance(""AES"""
46704765,"Cipher.getInstance(""AES"""
47051259,"Cipher.getInstance(""AES"""
47516485,"Cipher.getInstance(""AES"""
47553104,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
47766652,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
48007423,"Cipher.getInstance(""AES"""
48412749,"Cipher.getInstance(""RSA"""
48866127,"Cipher.getInstance(""AES"""
50252516,"Cipher.getInstance(""AES"""
50355824,"Cipher.getInstance(""AES"""
50630811,"Cipher.getInstance(""AES"""
51869413,"Cipher.getInstance(""AES"""
52951725,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
54181858,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
53322829,"Cipher.getInstance(""AES/ECB/PKCS5PADDING"""
55059743,"Cipher.getInstance(""AES"""
55712908,"Cipher.getInstance(""AES"""
55727126,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
55961138,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
56361677,"Cipher.getInstance(""AES"""
56543937,"Cipher.getInstance(""AES"""
57826271,"Cipher.getInstance(""AES"""
57954629,"Cipher.getInstance(""AES"""
59088908,"Cipher.getInstance(""AES"""
58832255,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
59466984,"Cipher.getInstance(""AES/ECB/PKCS5PADDING"""
59496573,"Cipher.getInstance(""AES"""
59502173,"Cipher.getInstance(""AES/ECB/NoPadding"", ""SunJCE"""
60120332,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
60630805,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
64882138,Cipher.getInstance(&quot;AES/ECB/NoPadding&quot;
60811249,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
60819870,"Cipher.getInstance(""AES"""
61200058,"Cipher.getInstance(""AES"""
62565879,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
62885117,Cipher.getInstance(&quot;AES/ECB/PKCS5PADDING&quot;
63196411,Cipher.getInstance(&quot;AES&quot;
63429465,"Cipher.getInstance(&quot;AES/ECB/PKCS7Padding&quot;, &quot;BC&quot;"
63575301,Cipher.getInstance(&quot;RSA/ECB/PKCS1Padding&quot;
64095915,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
65303280,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
66378175,Cipher.getInstance(&quot;AES&quot;
68363423,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
70366795,Cipher.getInstance(&quot;AES&quot;
72066538,Cipher.getInstance(&quot;AES&quot;
73473376,Cipher.getInstance(&quot;AES&quot;
73637361,Cipher.getInstance(&quot;AES&quot;
73819833,Cipher.getInstance(&quot;AES&quot;
33818911,"Cipher.getInstance(""DES"""
73092929,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
71832117,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
70897605,Cipher.getInstance(&quot;AES&quot;
70474514,Cipher.getInstance(&quot;AES&quot;
69761011,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
70158977,Cipher.getInstance(&quot;AES&quot;
68166466,Cipher.getInstance(&quot;AES/ECB/PKCS7Padding&quot;
70586649,Cipher.getInstance(&quot;AES&quot;
68389403,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
67640146,Cipher.getInstance(&quot;AES/ECB/NoPadding&quot;
68592874,Cipher.getInstance(&quot;AES&quot;
66940617,Cipher.getInstance(&quot;AES&quot;
67139487,Cipher.getInstance(&quot;AES&quot;
66217852,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
64965107,Cipher.getInstance(&quot;AES&quot;
66225955,Cipher.getInstance(&quot;AES&quot;
66284135,"Cipher.getInstance(&quot;AES/ECB/PKCS7Padding&quot;, &quot;BCFIPS&quot;"
65291753,Cipher.getInstance(TRANSFORMATION
64523981,Cipher.getInstance(&quot;AES&quot;
65518978,Cipher.getInstance(&quot;AES/ECB/PKCS5PADDING&quot;
64776944,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
63826701,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
64679683,Cipher.getInstance(&quot;AES&quot;
63113746,Cipher.getInstance(&quot;AES&quot;
63134356,Cipher.getInstance(&quot;AES&quot;
63167008,Cipher.getInstance(&quot;AES&quot;
63167207,Cipher.getInstance(&quot;AES/ECB/NoPadding&quot;
63180256,Cipher.getInstance(&quot;AES&quot;
61939180,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
62443278,"Cipher.getInstance(""AES"""
62679741,Cipher.getInstance(&quot;AES&quot;
61792494,Cipher.getInstance(&quot;AES&quot;
63800489,Cipher.getInstance(&quot;AES&quot;
61005401,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
61074028,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
59817296,Cipher.getInstance(&quot;AES/ECB/PKCS5Padding&quot;
60283479,"Cipher.getInstance(""AES"""
59926163,"Cipher.getInstance(""AES/ECB/PKCS5PADDING"""
59045718,"Cipher.getInstance(""AES/ECB/NoPadding"""
59072016,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
59159119,"Cipher.getInstance(""AES"""
