Id,Violation
16721406,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
115540,"Cipher.getInstance(""DES/CBC/NoPadding"""
63609617,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
62001716,Cipher.getInstance(&quot;AES/CBC/PKCS7Padding&quot;
63354456,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
62449449,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
18031179,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
21496467,"Cipher.getInstance(""AES"""
22358653,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
55290792,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
22589960,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
58621817,"Cipher.getInstance(""AES/CBC/NoPadding"""
58724218,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44632458,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44639366,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
46323505,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
45242387,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
24498252,"Cipher.getInstance(""AES/CBC/NoPadding"""
24973265,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
25069053,"Cipher.getInstance(""AES/CFB/NoPadding"", ""SC"""
40673746,"Cipher.getInstance(""AES/CBC/NoPadding"""
41673845,"Cipher.getInstance(""AES"""
28301697,"Cipher.getInstance(""AES/CBC/NoPadding"""
42179694,"Cipher.getInstance(""AES"""
29603246,"Cipher.getInstance(""AES/CBC/NoPadding"""
35220647,"Cipher.getInstance(""AES/CBC/NoPadding"""
35926771,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
34133679,"Cipher.getInstance(""AES/CBC/PKCS7PADDING"""
34188763,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
31293837,"Cipher.getInstance(""AES/ECB/PKCS5Padding"""
33803539,"Cipher.getInstance(""AES/CBC/NoPadding"", BouncyCastleProvider.PROVIDER_NAME"
32565922,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
56808655,Cipher.getInstance(&quot;DES/CBC/PKCS7Padding&quot;
33855084,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
35045068,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
39280323,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
39684624,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
42253705,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
42404777,"Cipher.getInstance(""AES/CBC/NoPadding"""
42455879,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
43890793,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
49438395,"Cipher.getInstance(""AES/CBC/PKCS7PADDING"""
49712917,"Cipher.getInstance(""RSA/ECB/PKCS1Padding"""
48197100,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
48337720,"Cipher.GetInstance(""AES/CBC/PKCS5Padding"""
49306153,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
50322964,"Cipher.getInstance(""AES/CBC/PKCS5Padding"", ""SunJCE"""
50925146,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
51117730,"Cipher.getInstance(""AES/CBC/NoPadding"""
52517229,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
52561526,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
53707184,"Cipher.getInstance(""AES/CTR/PKCS5PADDING"""
54197420,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
54607147,"Cipher.getInstance(""AES"""
54677496,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
17180353,"Cipher.getInstance(""RSA"", ""BC"""
55389183,"Cipher.getInstance(""AES/CBC/PKCS5Padding"", ""SunJCE"""
55448871,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
59535323,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
60428581,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
61203214,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
61640465,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
7024907,"Cipher.getInstance(""AES/CBC/NoPadding"""
7094777,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
7108402,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
62721941,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
62816614,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding
62905052,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
63601942,Cipher.getInstance(&quot;AES/CBC/NoPadding&quot;
63674785,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
63926787,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
63929570,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
64115916,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64387904,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64450338,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64466482,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64497576,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
66742985,Cipher.getInstance(&quot;AES/CBC/NoPadding&quot;
66843723,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
69227565,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
70393414,Cipher.getInstance(&quot;AES/CBC/NoPadding&quot;
1440030,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
4004836,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
5364485,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
9941263,"Cipher.getInstance(""AES/CBC/PKCS7Padding"""
6784088,"Cipher.getInstance(""AES"""
8763597,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
9417092,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
10268832,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
13419702,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
13923672,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
13926513,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
62116465,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
15689291,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
17261819,"Cipher.getInstance(""AES/CBC/NoPadding"""
19815169,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44343381,Cipher.getInstance(aesManaged.mode
18524027,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
18852299,"Cipher.getInstance(""AES/CBC/PKCS7Padding"""
19541096,"Cipher.getInstance(""AES/CBC/NoPadding"", ""SunJCE"""
19568998,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
19596002,"Cipher.getInstance(""AES"""
20655099,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
23250112,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
24781318,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
24874176,"Cipher.getInstance(""AES/CBC/NOPADDING"""
24885800,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
26270290,"Cipher.getInstance(""AES/CBC/NoPadding"""
44369493,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44438371,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
28118169,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
28295930,"Cipher.getInstance(""AES/CBC/NoPadding"""
29603046,"Cipher.getInstance(""AES/CBC/NoPadding"""
30382014,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
31473140,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
31640190,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
31697194,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
34507170,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
34881126,"Cipher.getInstance(""AES/CBC/PKCS7Padding"""
35215385,"Cipher.getInstance(""AES/CBC/NoPadding"""
36937917,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
37597585,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
39610952,"Cipher.getInstance(""AES/CBC/NoPadding"", ""SunJCE"""
40759311,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
42402896,"Cipher.getInstance(""AES/CBC/NoPadding"""
43486719,"Cipher.getInstance(""AES/CBC/PKCS7Padding"", ""BC"""
58388985,"Cipher.getInstance(""AES/CBC/PKCS7Padding"""
44081175,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44469651,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
45315885,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
45636379,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
46261673,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
47243228,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
48158528,"Cipher.getInstance(""AES/CBC/NoPadding"""
48159345,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
49803866,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
50995268,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
51770704,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
52809499,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
54183876,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
53392233,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
54148297,"Cipher.getInstance(""AES/CBC/""+padding"
55175864,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
56189889,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
58724102,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
59361444,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
59523956,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
64423926,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
59916541,"Cipher.getInstance(""AES/CBC/NoPadding"""
61373215,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
61613286,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
63672148,Cipher.getInstance(&quot;AES/CBC/NoPadding&quot;
63946809,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
64101756,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64386104,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64493398,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
65502088,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
67098588,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
69537829,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
70616504,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
72755461,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
72886971,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
69052431,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
69226635,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
60370961,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
68029103,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
66210824,Cipher.getInstance(&quot;AES/CBC/PKCS7Padding&quot;
66411559,Cipher.getInstance(&quot;AES/CBC/NoPadding&quot;
64255982,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
64774740,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64785319,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64776944,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
64604909,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
63929125,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
64120650,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
62544647,Cipher.getInstance(&quot;AES/CBC/PKCS5PADDING&quot;
61645801,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
61684322,"Cipher.getInstance(""AES/CBC/PKCS7Padding"""
62805190,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding
62890629,"Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;, &quot;BC&quot;"
62898554,Cipher.getInstance(&quot;AES/CBC/PKCS5Padding&quot;
61201441,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
60405749,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
62257298,"Cipher.getInstance(""AES/CBC/PKCS7Padding"""
59961064,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
55306672,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
56572677,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
53870256,"Cipher.getInstance(""AES/CBC/NoPadding"""
54021907,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
53184589,"Cipher.getInstance(""AES/CBC/NoPadding"""
53195595,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
52442405,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
52561005,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
52575936,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
51444347,"Cipher.getInstance(""AES/CBC/pkcs7padding"", ""BC"""
51090380,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
52776030,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
48319909,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
48118208,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
48306345,"Cipher.GetInstance(""AES/CBC/PKCS5Padding"""
50318355,"Cipher.getInstance(""AESWrap"", ""SunJCE"""
50333577,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
50472078,"Cipher.getInstance(""AES/CBC/NoPadding"", ""SunJCE"""
50550367,"Cipher.getInstance(Cipher.ALG_RSA_PKCS1, false"
49710896,"Cipher.getInstance(""RSA/ECB/PKCS1Padding"""
49477614,"Cipher.getInstance(""AES/CBC/PKCS5PADDING"""
49302052,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
47512224,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
47741649,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
46362489,"Cipher.getInstance(""AES/CBC/NoPadding"""
45649478,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44878997,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
42909308,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
44072601,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
42090501,"Cipher.getInstance(""AES/CBC/pkcs7Padding"""
43182853,"Cipher.getInstance(""AES/CBC/PKCS5Padding"""
