Id,Violation Pattern found,,,,,
3188171,"Cipher.getInstance(""DES"")",,,,,
3271912,"Cipher.getInstance(""DES/ECB/PKCS5Padding"")",,,,,
4490169,"Cipher.getInstance(""DES/CBC/PKCS5Padding"")",,,,,
2569623,"Cipher.getInstance(""blowfish"")",,,,,
2279317,"Cipher.getInstance(""DES/CBC/PKCS5Padding"")",,,,,
5613948,"Cipher.getInstance(""DES"")",,,,,
6932681,"Cipher.getInstance(""DES""",,,,,
6972705,"Cipher.getInstance(""DES"")",,,,,
7006975,"Cipher.getInstance(""DES"")",,,,,
7020945,"Cipher.getInstance(""DES"")",,,,,
7389420,"Cipher.getInstance(""DESede"")",,,,,
8468799,"Cipher.getInstance(""Blowfish/ECB/NoPadding"")",,,,,
8482258,"Cipher.getInstance(""RC2/CBC/NoPadding"")",,,,,
9846283,"Cipher.getInstance(""DESede/CBC/NoPadding"")",,,,,
9895299,"Cipher.getInstance(""DES/CBC/PKCS5Padding"")",,,,,
12110459,"Cipher.getInstance(""DES/ECB/PKCS5Padding"")",,,,,
12989107,"Cipher.getInstance(""DES"")",,,,,
14577215,"Cipher.getInstance(""DES"")",,,,,
14642351,"Cipher.getInstance(""DESede/ECB/NOPADDING"")",,,,,   
15406388,"Cipher.getInstance(""DES"")",,,,,
15903096,"Cipher.getInstance(""DES"")",,,,,
16752606,"Cipher.getInstance(""DESede/CBC/PKCS5Padding"")",,,,,
16833530,"Cipher.getInstance(""DESede/CBC/PKCS5Padding"")",,,,,
18266482,"Cipher.getInstance(""RC4"")",,,,,
18422207,Cipher.getInstance(&quot;DES/CBC/PKCS5Padding&quot;),,,,,
19372343,"Cipher.getInstance(""DESede/CBC/PKCS5Padding"")",,,,,
19412696,"Cipher.getInstance(""DES"")",,,,,
19531921,"Cipher.getInstance(""DES"")",,,,,
19534916,"Cipher.getInstance(""DES/ECB/NoPadding"")",,,,,
20425824,"Cipher.getInstance(""DES"")",,,,,
21354559,"Cipher.getInstance(""Blowfish/CBC/PKCS5Padding"")",,,,,
22185728,"Cipher.getInstance(""DES/CBC/PKCS5Padding"")",,,,,
22198856,"Cipher.getInstance(""DESede"")",,,,,
22280721,"Cipher.getInstance(""DESede/ECB/PKCS5Padding"")",,,,,
23070838,"Cipher.getInstance(""DES/ECB/PKCS5Padding"")",,,,,
24907530,"Cipher.getInstance(""Blowfish"")",,,,,
